"ID";"Sex";"Regions";"Periods";"PopulationOn31December_20"
"6159";"T001038";"GM0366";"2019JJ00";""
"6160";"T001038";"GM0366";"2020JJ00";""
"6215";"T001038";"GM0200";"2014JJ00";"  158099"
"6216";"T001038";"GM0200";"2015JJ00";"  159025"
"6217";"T001038";"GM0200";"2016JJ00";"  160047"
"6218";"T001038";"GM0200";"2017JJ00";"  161156"
"6219";"T001038";"GM0200";"2018JJ00";"  162445"
"6220";"T001038";"GM0200";"2019JJ00";"  163818"
"6221";"T001038";"GM0200";"2020JJ00";"  164781"
"6276";"T001038";"GM0201";"2014JJ00";""
"6277";"T001038";"GM0201";"2015JJ00";""
"6278";"T001038";"GM0201";"2016JJ00";""
"6279";"T001038";"GM0201";"2017JJ00";""
"6280";"T001038";"GM0201";"2018JJ00";""
"6281";"T001038";"GM0201";"2019JJ00";""
"6282";"T001038";"GM0201";"2020JJ00";""
"6337";"T001038";"GM0003";"2014JJ00";"   12011"
"6338";"T001038";"GM0003";"2015JJ00";"   12001"
"6339";"T001038";"GM0003";"2016JJ00";"   11971"
"6340";"T001038";"GM0003";"2017JJ00";"   11801"
"6341";"T001038";"GM0003";"2018JJ00";"   11721"
"6342";"T001038";"GM0003";"2019JJ00";"   11642"
"6343";"T001038";"GM0003";"2020JJ00";"   11496"
"6398";"T001038";"GM0885";"2014JJ00";""
"6399";"T001038";"GM0885";"2015JJ00";""
"6400";"T001038";"GM0885";"2016JJ00";""
"6401";"T001038";"GM0885";"2017JJ00";""
"6402";"T001038";"GM0885";"2018JJ00";""
"6403";"T001038";"GM0885";"2019JJ00";""
"6404";"T001038";"GM0885";"2020JJ00";""
"6459";"T001038";"GM0487";"2014JJ00";""
"6460";"T001038";"GM0487";"2015JJ00";""
"6461";"T001038";"GM0487";"2016JJ00";""
"6462";"T001038";"GM0487";"2017JJ00";""
"6463";"T001038";"GM0487";"2018JJ00";""
"6464";"T001038";"GM0487";"2019JJ00";""
"6465";"T001038";"GM0487";"2020JJ00";""
"6520";"T001038";"GM0649";"2014JJ00";""
"6521";"T001038";"GM0649";"2015JJ00";""
"6522";"T001038";"GM0649";"2016JJ00";""
"6523";"T001038";"GM0649";"2017JJ00";""
"6524";"T001038";"GM0649";"2018JJ00";""
"6525";"T001038";"GM0649";"2019JJ00";""
"6526";"T001038";"GM0649";"2020JJ00";""
"6581";"T001038";"GM0202";"2014JJ00";"  152293"
"6582";"T001038";"GM0202";"2015JJ00";"  153818"
"6583";"T001038";"GM0202";"2016JJ00";"  155699"
"6584";"T001038";"GM0202";"2017JJ00";"  157223"
"6585";"T001038";"GM0202";"2018JJ00";"  159265"
"6586";"T001038";"GM0202";"2019JJ00";"  161348"
"6587";"T001038";"GM0202";"2020JJ00";"  162424"
"6642";"T001038";"GM0488";"2014JJ00";""
"6643";"T001038";"GM0488";"2015JJ00";""
"6644";"T001038";"GM0488";"2016JJ00";""
"6645";"T001038";"GM0488";"2017JJ00";""
"6646";"T001038";"GM0488";"2018JJ00";""
"6647";"T001038";"GM0488";"2019JJ00";""
"6648";"T001038";"GM0488";"2020JJ00";""
"6703";"T001038";"GM0106";"2014JJ00";"   67165"
"6704";"T001038";"GM0106";"2015JJ00";"   67061"
"6705";"T001038";"GM0106";"2016JJ00";"   67551"
"6706";"T001038";"GM0106";"2017JJ00";"   67708"
"6707";"T001038";"GM0106";"2018JJ00";"   67963"
"6708";"T001038";"GM0106";"2019JJ00";"   68599"
"6709";"T001038";"GM0106";"2020JJ00";"   68836"
"6764";"T001038";"GM0367";"2014JJ00";""
"6765";"T001038";"GM0367";"2015JJ00";""
"6766";"T001038";"GM0367";"2016JJ00";""
"6767";"T001038";"GM0367";"2017JJ00";""
"6768";"T001038";"GM0367";"2018JJ00";""
"6769";"T001038";"GM0367";"2019JJ00";""
"6770";"T001038";"GM0367";"2020JJ00";""
"6825";"T001038";"GM0743";"2014JJ00";"   16559"
"6826";"T001038";"GM0743";"2015JJ00";"   16580"
"6827";"T001038";"GM0743";"2016JJ00";"   16714"
"6828";"T001038";"GM0743";"2017JJ00";"   16719"
"6829";"T001038";"GM0743";"2018JJ00";"   16710"
"6830";"T001038";"GM0743";"2019JJ00";"   16721"
"6831";"T001038";"GM0743";"2020JJ00";"   16817"
"6886";"T001038";"GM0368";"2014JJ00";""
"6887";"T001038";"GM0368";"2015JJ00";""
"6888";"T001038";"GM0368";"2016JJ00";""
"6889";"T001038";"GM0368";"2017JJ00";""
"6890";"T001038";"GM0368";"2018JJ00";""
"6891";"T001038";"GM0368";"2019JJ00";""
"6892";"T001038";"GM0368";"2020JJ00";""
"6947";"T001038";"GM0143";"2014JJ00";""
"6948";"T001038";"GM0143";"2015JJ00";""
"6949";"T001038";"GM0143";"2016JJ00";""
"6950";"T001038";"GM0143";"2017JJ00";""
"6951";"T001038";"GM0143";"2018JJ00";""
"6952";"T001038";"GM0143";"2019JJ00";""
"6953";"T001038";"GM0143";"2020JJ00";""
"7008";"T001038";"GM0650";"2014JJ00";""
"7009";"T001038";"GM0650";"2015JJ00";""
"7010";"T001038";"GM0650";"2016JJ00";""
"7011";"T001038";"GM0650";"2017JJ00";""
"7012";"T001038";"GM0650";"2018JJ00";""
"7013";"T001038";"GM0650";"2019JJ00";""
"7014";"T001038";"GM0650";"2020JJ00";""
"7069";"T001038";"GM0061";"2014JJ00";""
"7070";"T001038";"GM0061";"2015JJ00";""
"7071";"T001038";"GM0061";"2016JJ00";""
"7072";"T001038";"GM0061";"2017JJ00";""
"7073";"T001038";"GM0061";"2018JJ00";""
"7074";"T001038";"GM0061";"2019JJ00";""
"7075";"T001038";"GM0061";"2020JJ00";""
"7130";"T001038";"GM0651";"2014JJ00";""
"7131";"T001038";"GM0651";"2015JJ00";""
"7132";"T001038";"GM0651";"2016JJ00";""
"7133";"T001038";"GM0651";"2017JJ00";""
